tx_id	hiND14_RFP_wt_rep1	hiND14_RFP_wt_rep2	hiND14_RFP_wt_rep3	hiND14_RFP_Nterm_rep1	hiND14_RFP_Nterm_rep2	hiND14_RFP_Nterm_rep3	hiND14_wt_rep1_RNA	hiND14_wt_rep3_RNA	hiND14_Nterm_rep2_RNA	hiND14_wt_rep2_RNA	hiND14_Nterm_rep3_RNA	hiND14_Nterm_rep1_RNA
ENST00000420428	1737.0	2356.0	1993.0	1825.0	1975.0	2379.0	2507.0	2762.0	2147.0	2171.0	2642.0	2172.0
ENST00000236192	292.0	289.0	210.0	207.0	207.0	240.0	518.0	607.0	460.0	467.0	541.0	482.0
ENST00000323776	6.0	9.0	8.0	4.0	4.0	6.0	7.0	13.0	3.0	16.0	7.0	9.0
ENST00000377938	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0
ENST00000375980	371.0	526.0	436.0	384.0	396.0	354.0	830.0	757.0	546.0	690.0	515.0	479.0
ENST00000590327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000332509	274.0	342.0	319.0	259.0	283.0	265.0	354.0	343.0	286.0	311.0	275.0	258.0
ENST00000357736	122.0	207.0	164.0	164.0	181.0	192.0	1405.0	1390.0	1168.0	1187.0	1293.0	1192.0
ENST00000373157	1.0	1.0	1.0	0.0	1.0	1.0	6.0	1.0	1.0	1.0	2.0	0.0
ENST00000615353	371.0	494.0	456.0	402.0	386.0	512.0	0.0	1.0	4.0	1.0	3.0	0.0
ENST00000444847	2.0	7.0	7.0	6.0	5.0	3.0	9.0	14.0	11.0	13.0	6.0	8.0
ENST00000400183	404.0	466.0	363.0	286.0	335.0	330.0	1036.0	982.0	674.0	987.0	803.0	667.0
ENST00000434821	888.0	1116.0	887.0	723.0	713.0	798.0	1088.0	951.0	606.0	897.0	673.0	632.0
ENST00000225174	664.0	928.0	736.0	640.0	738.0	787.0	938.0	841.0	682.0	731.0	752.0	727.0
ENST00000303965	232.0	246.0	162.0	137.0	166.0	140.0	377.0	353.0	264.0	358.0	183.0	222.0
ENST00000341287	80.0	101.0	103.0	82.0	73.0	116.0	183.0	211.0	117.0	172.0	198.0	174.0
ENST00000297477	5.0	6.0	9.0	9.0	2.0	3.0	12.0	19.0	6.0	20.0	7.0	11.0
ENST00000431843	193.0	273.0	250.0	234.0	211.0	246.0	169.0	139.0	135.0	140.0	119.0	127.0
ENST00000641760	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000382758	69.0	98.0	82.0	70.0	46.0	85.0	54.0	55.0	39.0	44.0	53.0	36.0
ENST00000324817	1298.0	1512.0	1287.0	1054.0	1263.0	1319.0	1662.0	1675.0	1219.0	1516.0	1390.0	1300.0
ENST00000301391	538.0	864.0	679.0	628.0	677.0	841.0	1059.0	1124.0	882.0	1041.0	1104.0	977.0
ENST00000368713	67.0	107.0	66.0	52.0	62.0	69.0	59.0	59.0	43.0	56.0	39.0	42.0
ENST00000518069	0.0	1.0	2.0	2.0	3.0	2.0	10.0	16.0	9.0	30.0	7.0	18.0
ENST00000251203	37.0	42.0	38.0	37.0	30.0	40.0	77.0	115.0	55.0	81.0	65.0	65.0
ENST00000226382	4039.0	5062.0	4759.0	4985.0	4390.0	5535.0	8127.0	8559.0	6997.0	6767.0	8113.0	7457.0
ENST00000370086	2271.0	2950.0	2567.0	2306.0	2451.0	2645.0	1587.0	1594.0	1034.0	1371.0	1290.0	1226.0
ENST00000373783	448.0	665.0	615.0	560.0	530.0	647.0	1209.0	1148.0	868.0	1008.0	939.0	938.0
ENST00000284073	693.0	1098.0	796.0	751.0	805.0	956.0	1686.0	1727.0	1491.0	1541.0	1796.0	1458.0
ENST00000245816	698.0	1071.0	814.0	784.0	833.0	968.0	1018.0	975.0	780.0	835.0	920.0	785.0
ENST00000439174	1277.0	1689.0	1186.0	1015.0	1155.0	1304.0	3537.0	3561.0	2652.0	3072.0	2886.0	2739.0
ENST00000302548	0.0	0.0	1.0	1.0	0.0	2.0	8.0	15.0	15.0	6.0	10.0	5.0
ENST00000395384	1386.0	1965.0	1511.0	1311.0	1477.0	1521.0	2974.0	2695.0	1917.0	2472.0	1959.0	1776.0
ENST00000315683	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000014930	359.0	536.0	299.0	269.0	287.0	284.0	442.0	391.0	297.0	438.0	262.0	274.0
ENST00000682958	1.0	1.0	2.0	2.0	2.0	4.0	3.0	0.0	0.0	0.0	2.0	0.0
ENST00000218388	1202.0	1569.0	1154.0	834.0	876.0	794.0	614.0	535.0	293.0	563.0	304.0	374.0
